# Title: Global Land and Ocean February Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1850,-0.13
1851,-0.08
1852,-0.21
1853,-0.19
1854,-0.09
1855,-0.07
1856,0.02
1857,-0.31
1858,-0.14
1859,-0.04
1860,-0.16
1861,-0.56
1862,-0.39
1863,-0.25
1864,-0.38
1865,-0.07
1866,0.01
1867,-0.47
1868,-0.1
1869,0.17
1870,-0.32
1871,-0.31
1872,-0.18
1873,-0.12
1874,-0.29
1875,-0.21
1876,-0.34
1877,0.03
1878,0.21
1879,-0.22
1880,-0.46
1881,-0.09
1882,-0.13
1883,-0.33
1884,-0.18
1885,-0.22
1886,-0.37
1887,-0.46
1888,-0.33
1889,0.17
1890,-0.3
1891,-0.47
1892,-0.1
1893,-0.38
1894,-0.43
1895,-0.42
1896,-0.22
1897,-0.23
1898,-0.36
1899,-0.32
1900,0.06
1901,-0.13
1902,-0.06
1903,-0.23
1904,-0.52
1905,-0.51
1906,-0.23
1907,-0.48
1908,-0.24
1909,-0.37
1910,-0.37
1911,-0.58
1912,-0.2
1913,-0.31
1914,-0.1
1915,-0.13
1916,-0.21
1917,-0.59
1918,-0.5
1919,-0.24
1920,-0.21
1921,-0.25
1922,-0.38
1923,-0.28
1924,-0.19
1925,-0.31
1926,0
1927,-0.13
1928,-0.11
1929,-0.43
1930,-0.21
1931,-0.16
1932,-0.2
1933,-0.27
1934,-0.07
1935,0.15
1936,-0.25
1937,0.06
1938,0.05
1939,-0.05
1940,0.19
1941,0.28
1942,-0.04
1943,0.07
1944,0.28
1945,0.12
1946,0.02
1947,0
1948,-0.07
1949,-0.09
1950,-0.23
1951,-0.37
1952,0.14
1953,0.2
1954,0
1955,-0.16
1956,-0.15
1957,-0.05
1958,0.2
1959,0.11
1960,0.16
1961,0.17
1962,0.17
1963,0.19
1964,-0.08
1965,-0.16
1966,-0.03
1967,-0.2
1968,-0.14
1969,-0.07
1970,0.19
1971,-0.16
1972,-0.13
1973,0.31
1974,-0.25
1975,0.09
1976,-0.07
1977,0.18
1978,0.16
1979,-0.03
1980,0.43
1981,0.41
1982,0.18
1983,0.45
1984,0.18
1985,0.04
1986,0.4
1987,0.38
1988,0.45
1989,0.31
1990,0.38
1991,0.48
1992,0.43
1993,0.39
1994,0.05
1995,0.73
1996,0.49
1997,0.35
1998,0.79
1999,0.64
2000,0.54
2001,0.43
2002,0.65
2003,0.6
2004,0.68
2005,0.61
2006,0.74
2007,0.69
2008,0.32
2009,0.53
2010,0.81
2011,0.51
2012,0.51
2013,0.59
2014,0.57
2015,0.85
2016,1.31
2017,1.11
2018,0.9
2019,0.92
2020,1.21
2021,0.65
2022,0.9
2023,1.01
2024,1.4
2025,1.22
2026,1.18
